,index,callingcellid,date_key,call_date,caller,year_month,time,day_of_week,is_weekend,hour,time_of_day,is_home_time,latitude,longitude,provName
104,12513,4.12203011463e+14,20161224,12/24/2016 3:34:12 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-24 15:34:12,5,False,15,15.5666666667,False,34.5031,70.218,Laghman
105,12922,4.1220301113e+14,20161226,12/26/2016 5:36:53 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-26 17:36:53,0,False,17,17.6,True,34.4245,70.4245,Nangarhar
106,12982,4.1220301113e+14,20161228,12/28/2016 5:23:11 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-28 17:23:11,2,False,17,17.3833333333,True,34.4407,70.398,Nangarhar
107,13188,4.1220101091e+14,20161223,12/23/2016 11:36:30 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-23 11:36:30,4,True,11,11.6,True,34.531,69.1585,Kabul
108,13195,4.12201010129e+14,20161222,12/22/2016 1:51:43 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-22 13:51:43,3,False,13,13.85,False,34.5679,69.3931,Kabul
110,13308,4.12203011463e+14,20161214,12/14/2016 8:16:38 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-14 20:16:38,2,False,20,20.2666666667,True,34.5011,70.3906,Nangarhar
111,13349,4.1220301113e+14,20161216,12/16/2016 10:25:31 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-16 10:25:31,4,True,10,10.4166666667,True,34.4407,70.398,Nangarhar
112,13363,4.1220301113e+14,20161216,12/16/2016 7:43:22 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-16 07:43:22,4,True,7,7.71666666667,True,34.4407,70.398,Nangarhar
114,13972,4.1220301113e+14,20161219,12/19/2016 11:21:39 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-19 11:21:39,0,False,11,11.35,False,34.4407,70.398,Nangarhar
115,14146,4.12201610512e+14,20161222,12/22/2016 6:25:36 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-22 18:25:36,3,False,18,18.4166666667,True,34.5336,69.0856,Kabul
116,14202,4.12203011463e+14,20161215,12/15/2016 6:28:14 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-15 18:28:14,3,False,18,18.4666666667,True,34.5011,70.3906,Nangarhar
117,14870,4.12203011463e+14,20161227,12/27/2016 7:32:07 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-27 07:32:07,1,False,7,7.53333333333,True,34.5011,70.3906,Nangarhar
118,15443,4.1220301113e+14,20161216,12/16/2016 5:23:55 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-16 17:23:55,4,True,17,17.3833333333,True,34.4407,70.398,Nangarhar
119,15618,4.1220301113e+14,20161219,12/19/2016 11:36:03 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-19 11:36:03,0,False,11,11.6,False,34.4407,70.398,Nangarhar
120,15625,4.12203011463e+14,20161225,12/25/2016 9:13:38 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-25 09:13:38,6,False,9,9.21666666667,False,34.5011,70.3906,Nangarhar
121,15912,4.1220301113e+14,20161220,12/20/2016 7:39:43 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-20 07:39:43,1,False,7,7.65,True,34.4407,70.398,Nangarhar
122,16001,4.1220301113e+14,20161206,12/6/2016 1:44:24 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-06 13:44:24,1,False,13,13.7333333333,False,34.4202,70.4383,Nangarhar
123,16092,4.1220301113e+14,20161230,12/30/2016 2:42:58 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-30 14:42:58,4,True,14,14.7,True,34.4297,70.3586,Nangarhar
124,16888,4.1220301113e+14,20161215,12/15/2016 7:26:12 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-15 07:26:12,3,False,7,7.43333333333,True,34.4407,70.398,Nangarhar
126,17197,4.1220301113e+14,20161220,12/20/2016 7:57:57 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-20 07:57:57,1,False,7,7.95,True,34.4407,70.398,Nangarhar
127,17210,4.12203011463e+14,20161220,12/20/2016 8:26:36 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-20 08:26:36,1,False,8,8.43333333333,False,34.5011,70.3906,Nangarhar
128,17284,4.1220301113e+14,20161216,12/16/2016 5:28:08 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-16 17:28:08,4,True,17,17.4666666667,True,34.4407,70.398,Nangarhar
129,17363,4.12203011463e+14,20161201,12/1/2016 4:57:56 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 16:57:56,3,False,16,16.95,True,34.5011,70.3906,Nangarhar
130,17371,4.12203011131e+14,20161230,12/30/2016 7:14:09 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-30 07:14:09,4,True,7,7.23333333333,True,34.4321,70.4682,Nangarhar
131,17380,4.1220301113e+14,20161201,12/1/2016 11:03:48 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 11:03:48,3,False,11,11.05,False,34.4202,70.4383,Nangarhar
132,17532,4.1220301113e+14,20161229,12/29/2016 10:43:54 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-29 10:43:54,3,False,10,10.7166666667,False,34.4202,70.4383,Nangarhar
